Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,1.41,1.41,1.41,1.41,1.41,2200
2010-07-05,1.45,1.45,1.45,1.45,1.45,11000
2010-07-07,1.45,1.45,1.45,1.45,1.45,2130
2010-07-08,1.44,1.44,1.44,1.44,1.44,4000
2010-07-11,1.44,1.44,1.44,1.44,1.44,1000
2010-07-12,1.45,1.45,1.44,1.44,1.44,30030
2010-07-13,1.42,1.42,1.42,1.42,1.42,1500
2010-07-14,1.41,1.44,1.4,1.4,1.4,8070
2010-07-15,1.4,1.4,1.4,1.4,1.4,2500
2010-07-18,1.4,1.4,1.4,1.4,1.4,5000
2010-07-19,1.4,1.4,1.4,1.4,1.4,13793
2010-07-20,1.4,1.4,1.4,1.4,1.4,1000
2010-07-21,1.4,1.41,1.39,1.41,1.41,17702
2010-07-22,1.46,1.65,1.46,1.59,1.59,56178
2010-07-25,1.59,1.59,1.5,1.52,1.52,23932
2010-07-26,1.52,1.52,1.52,1.52,1.52,7000
2010-07-27,1.5,1.5,1.47,1.47,1.47,4248
2010-07-28,1.49,1.5,1.49,1.5,1.5,26020
2010-07-29,1.5,1.52,1.5,1.52,1.52,13500
2010-08-01,1.52,1.52,1.5,1.5,1.5,8000
2010-08-02,1.5,1.55,1.5,1.55,1.55,25380
2010-08-03,1.55,1.55,1.54,1.54,1.54,7608
2010-08-04,1.56,1.6,1.56,1.6,1.6,1500
2010-08-05,1.58,1.58,1.54,1.54,1.54,7192
2010-08-08,1.56,1.56,1.53,1.53,1.53,15055
2010-08-09,1.57,1.57,1.54,1.55,1.55,3300
2010-08-10,1.54,1.54,1.54,1.54,1.54,2500
2010-08-11,1.54,1.54,1.51,1.51,1.51,4203
2010-08-12,1.53,1.53,1.51,1.51,1.51,9137
2010-08-15,1.5,1.5,1.47,1.47,1.47,26200
2010-08-16,1.47,1.47,1.47,1.47,1.47,4000
2010-08-17,1.47,1.47,1.47,1.47,1.47,5615
2010-08-19,1.48,1.5,1.48,1.5,1.5,12200
2010-08-22,1.5,1.5,1.5,1.5,1.5,35964
2010-08-23,1.5,1.51,1.5,1.51,1.51,2859
2010-08-24,1.5,1.5,1.5,1.5,1.5,2300
2010-08-25,1.49,1.5,1.49,1.49,1.49,22730
2010-08-26,1.47,1.49,1.47,1.47,1.47,25731
2010-08-29,1.45,1.47,1.45,1.47,1.47,31954
2010-08-30,1.47,1.47,1.47,1.47,1.47,2840
2010-08-31,1.47,1.47,1.47,1.47,1.47,7132
2010-09-01,1.47,1.48,1.47,1.48,1.48,2219
2010-09-02,1.49,1.51,1.49,1.51,1.51,9959
2010-09-05,1.55,1.55,1.54,1.54,1.54,10991
2010-09-06,1.53,1.53,1.47,1.47,1.47,32299
2010-09-08,1.48,1.48,1.47,1.47,1.47,29205
2010-09-09,1.5,1.5,1.5,1.5,1.5,7000
2010-09-12,1.52,1.52,1.5,1.5,1.5,6295
2010-09-13,1.49,1.49,1.49,1.49,1.49,3800
2010-09-14,1.49,1.49,1.47,1.47,1.47,18755
2010-09-15,1.48,1.48,1.48,1.48,1.48,1955
2010-09-16,1.49,1.49,1.49,1.49,1.49,3545
2010-09-19,1.47,1.47,1.47,1.47,1.47,2000
2010-09-20,1.49,1.49,1.48,1.48,1.48,2700
2010-09-21,1.48,1.49,1.48,1.49,1.49,16418
2010-09-22,1.49,1.49,1.49,1.49,1.49,16680
2010-09-23,1.49,1.49,1.49,1.49,1.49,8200
2010-09-26,1.49,1.49,1.49,1.49,1.49,33452
2010-09-27,1.5,1.5,1.49,1.49,1.49,35544
2010-09-28,1.49,1.49,1.48,1.48,1.48,7304
2010-09-29,1.49,1.49,1.48,1.48,1.48,7304
2010-10-03,1.48,1.48,1.48,1.48,1.48,11620
2010-10-04,1.48,1.49,1.48,1.48,1.48,16216
2010-10-05,1.49,1.49,1.46,1.46,1.46,20664
2010-10-06,1.47,1.48,1.47,1.48,1.48,6740
2010-10-12,1.5,1.5,1.5,1.5,1.5,12111
2010-10-14,1.51,1.51,1.5,1.5,1.5,41000
2010-10-17,1.5,1.5,1.5,1.5,1.5,47395
2010-10-18,1.5,1.5,1.5,1.5,1.5,42635
2010-10-19,1.48,1.48,1.48,1.48,1.48,4125
2010-10-20,1.5,1.5,1.49,1.49,1.49,36500
2010-10-21,1.51,1.75,1.51,1.58,1.58,151091
2010-10-25,1.6,1.68,1.6,1.64,1.64,96128
2010-10-26,1.64,1.68,1.64,1.68,1.68,21066
2010-10-27,1.68,1.68,1.68,1.68,1.68,21702
2010-10-28,1.68,1.68,1.68,1.68,1.68,7246
2010-10-31,1.68,1.7,1.65,1.65,1.65,104000
2010-11-01,1.66,1.72,1.66,1.72,1.72,9100
2010-11-03,1.75,1.8,1.74,1.78,1.78,43290
2010-11-04,1.81,1.81,1.8,1.8,1.8,61500
2010-11-07,1.8,1.81,1.79,1.79,1.79,19340
2010-11-08,1.78,1.8,1.78,1.8,1.8,31270
2010-11-09,1.8,1.82,1.8,1.82,1.82,10465
2010-11-10,1.85,1.93,1.85,1.92,1.92,72149
2010-11-11,1.93,1.96,1.87,1.95,1.95,74618
2010-11-14,1.95,1.95,1.93,1.95,1.95,51100
2010-11-15,1.95,1.97,1.95,1.96,1.96,32977
2010-11-16,1.97,2.05,1.96,2.05,2.05,94000
2010-11-17,2.05,2.1,2.05,2.07,2.07,72755
2010-11-18,2.11,2.15,2.1,2.13,2.13,56660
2010-11-21,2.12,2.13,2.1,2.13,2.13,27700
2010-11-22,2.13,2.13,2.1,2.1,2.1,39400
2010-11-23,2.05,2.05,1.96,2,2,29542
2010-11-24,2.1,2.1,2.08,2.1,2.1,11900
2010-11-25,2.1,2.1,2.1,2.1,2.1,10597
2010-11-28,2.03,2.03,2,2,2,34800
2010-11-29,2,2,1.96,1.96,1.96,14673
2010-11-30,2,2.02,2,2.02,2.02,8652
2010-12-01,2,2.05,2,2.05,2.05,15422
2010-12-02,2.05,2.18,2.05,2.18,2.18,57929
2010-12-05,2.18,2.29,2.18,2.25,2.25,42050
2010-12-06,2.24,2.24,2.15,2.15,2.15,43885
2010-12-07,2.2,2.24,2.2,2.2,2.2,19271
2010-12-08,2.24,2.24,2.24,2.24,2.24,3735
2010-12-09,2.23,2.23,2.23,2.23,2.23,2000
2010-12-12,2.24,2.25,2.23,2.25,2.25,20964
2010-12-13,2.25,2.3,2.25,2.27,2.27,29415
2010-12-14,2.27,2.37,2.27,2.35,2.35,28510
2010-12-15,2.35,2.39,2.35,2.39,2.39,42528
2010-12-16,2.39,2.4,2.38,2.38,2.38,31740
2010-12-19,2.38,2.38,2.37,2.37,2.37,51950
2010-12-20,2.4,2.49,2.4,2.47,2.47,20789
2010-12-21,2.49,2.64,2.49,2.6,2.6,42503
2010-12-22,2.59,2.68,2.5,2.68,2.68,130473
2010-12-23,2.68,2.7,2.65,2.7,2.7,38318
2010-12-28,2.68,2.75,2.65,2.75,2.75,91370
2010-12-29,2.75,2.94,2.75,2.94,2.94,82523
2010-12-30,3,3.16,3,3,3,43826
2011-01-04,3.06,3.06,2.75,2.9,2.9,86070
2011-01-05,2.99,2.99,2.9,2.99,2.99,33580
2011-01-06,2.99,2.99,2.96,2.96,2.96,14912
2011-01-09,2.96,2.96,2.96,2.96,2.96,31737
2011-01-10,2.96,2.96,2.9,2.91,2.91,33366
2011-01-11,2.97,2.97,2.9,2.9,2.9,23775
2011-01-12,2.9,2.92,2.78,2.8,2.8,36611
2011-01-13,2.85,2.85,2.5,2.55,2.55,60139
2011-01-16,2.68,2.68,2.57,2.65,2.65,26167
2011-01-17,2.65,2.65,2.55,2.65,2.65,48314
2011-01-18,2.74,2.75,2.73,2.73,2.73,6279
2011-01-19,2.7,2.75,2.65,2.75,2.75,16935
2011-01-20,2.75,2.75,2.73,2.75,2.75,14500
